test_id,node,test_category,test_description,test,result,failure_reason
71,AS-LEAF1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Used for Testing,PASS,
72,AS-LEAF1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Not in use,PASS,
73,AS-LEAF1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf PROD,PASS,
74,AS-LEAF2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
75,AS-LEAF2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
76,AS-LEAF2,Interface State,Vlan Interface & Line Protocol == "up",Vlan110 - Used for Testing,PASS,
77,AS-LEAF2,Interface State,Vlan Interface & Line Protocol == "up",Vlan120 - Not in use,PASS,
78,AS-LEAF2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf DEV,PASS,
79,AS-LEAF2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Used for Testing,PASS,
80,AS-LEAF2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Not in use,PASS,
81,AS-LEAF2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf PROD,PASS,
82,AS-LEAF3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
83,AS-LEAF3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
84,AS-LEAF3,Interface State,Vlan Interface & Line Protocol == "up",Vlan110 - Used for Testing,PASS,
85,AS-LEAF3,Interface State,Vlan Interface & Line Protocol == "up",Vlan120 - Not in use,PASS,
86,AS-LEAF3,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf DEV,PASS,
87,AS-LEAF3,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Used for Testing,PASS,
88,AS-LEAF3,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Not in use,PASS,
89,AS-LEAF3,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf PROD,PASS,
90,AS-DCI1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
91,AS-DCI2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
92,AS-LEAF1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
93,AS-LEAF2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
94,AS-LEAF3,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
95,AS-DCI1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
96,AS-DCI1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
97,AS-DCI2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
98,AS-DCI2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
99,AS-LEAF1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
100,AS-LEAF1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
101,AS-LEAF2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
102,AS-LEAF2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
103,AS-LEAF3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
104,AS-LEAF3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
105,AS-SPINE1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
106,AS-SPINE2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
107,AS-DCI1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: AS-DCI2_Ethernet3,PASS,
108,AS-DCI1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: AS-DCI2_Ethernet4,PASS,
109,AS-DCI1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: AS-SPINE1_Ethernet3,PASS,
110,AS-DCI1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: AS-SPINE2_Ethernet3,PASS,
111,AS-DCI1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: SJ-DCI1_Ethernet5,FAIL,Interface Down - N/A
112,AS-DCI2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: AS-DCI1_Ethernet3,PASS,
113,AS-DCI2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: AS-DCI1_Ethernet4,PASS,
114,AS-DCI2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: AS-SPINE1_Ethernet4,PASS,
115,AS-DCI2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: AS-SPINE2_Ethernet4,PASS,
116,AS-DCI2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: SJ-DCI2_Ethernet5,FAIL,Interface Down - N/A
117,AS-LEAF1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: AS-LEAF2_Ethernet3,PASS,
118,AS-LEAF1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: AS-LEAF2_Ethernet4,PASS,
119,AS-LEAF1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: AS-SPINE1_Ethernet1,PASS,
120,AS-LEAF1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: AS-SPINE2_Ethernet1,PASS,
121,AS-LEAF2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: AS-LEAF1_Ethernet3,PASS,
122,AS-LEAF2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: AS-LEAF1_Ethernet4,PASS,
123,AS-LEAF2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: AS-SPINE1_Ethernet2,PASS,
124,AS-LEAF2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: AS-SPINE2_Ethernet2,PASS,
125,AS-LEAF3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: AS-LEAF4_Ethernet3,PASS,
126,AS-LEAF3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: AS-LEAF4_Ethernet4,PASS,
127,AS-LEAF3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: AS-SPINE1_Ethernet5,PASS,
128,AS-LEAF3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: AS-SPINE2_Ethernet5,PASS,
129,AS-SPINE1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: AS-LEAF1_Ethernet1,PASS,
130,AS-SPINE1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: AS-LEAF2_Ethernet1,PASS,
131,AS-SPINE1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: AS-DCI1_Ethernet1,PASS,
132,AS-SPINE1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: AS-DCI2_Ethernet1,PASS,
133,AS-SPINE1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: AS-LEAF3_Ethernet1,PASS,
134,AS-SPINE1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: AS-LEAF4_Ethernet1,PASS,
135,AS-SPINE2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: AS-LEAF1_Ethernet2,PASS,
136,AS-SPINE2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: AS-LEAF2_Ethernet2,PASS,
137,AS-SPINE2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: AS-DCI1_Ethernet2,PASS,
138,AS-SPINE2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: AS-DCI2_Ethernet2,PASS,
139,AS-SPINE2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: AS-LEAF3_Ethernet2,PASS,
140,AS-SPINE2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: AS-LEAF4_Ethernet2,PASS,
141,AS-DCI1,MLAG,MLAG State active & Status connected,MLAG,PASS,
142,AS-DCI2,MLAG,MLAG State active & Status connected,MLAG,PASS,
143,AS-LEAF1,MLAG,MLAG State active & Status connected,MLAG,PASS,
144,AS-LEAF2,MLAG,MLAG State active & Status connected,MLAG,PASS,
145,AS-LEAF3,MLAG,MLAG State active & Status connected,MLAG,PASS,
146,AS-DCI1,IP Reachability,ip reachability test p2p links,Source: AS-DCI1_Ethernet1 - Destination: AS-SPINE1_Ethernet3,PASS,
147,AS-DCI1,IP Reachability,ip reachability test p2p links,Source: AS-DCI1_Ethernet2 - Destination: AS-SPINE2_Ethernet3,PASS,
148,AS-DCI1,IP Reachability,ip reachability test p2p links,Source: AS-DCI1_Ethernet5 - Destination: SJ-DCI1_Ethernet5,PASS,
149,AS-DCI2,IP Reachability,ip reachability test p2p links,Source: AS-DCI2_Ethernet1 - Destination: AS-SPINE1_Ethernet4,PASS,
150,AS-DCI2,IP Reachability,ip reachability test p2p links,Source: AS-DCI2_Ethernet2 - Destination: AS-SPINE2_Ethernet4,PASS,
151,AS-DCI2,IP Reachability,ip reachability test p2p links,Source: AS-DCI2_Ethernet5 - Destination: SJ-DCI2_Ethernet5,PASS,
152,AS-LEAF1,IP Reachability,ip reachability test p2p links,Source: AS-LEAF1_Ethernet1 - Destination: AS-SPINE1_Ethernet1,PASS,
153,AS-LEAF1,IP Reachability,ip reachability test p2p links,Source: AS-LEAF1_Ethernet2 - Destination: AS-SPINE2_Ethernet1,PASS,
154,AS-LEAF2,IP Reachability,ip reachability test p2p links,Source: AS-LEAF2_Ethernet1 - Destination: AS-SPINE1_Ethernet2,PASS,
155,AS-LEAF2,IP Reachability,ip reachability test p2p links,Source: AS-LEAF2_Ethernet2 - Destination: AS-SPINE2_Ethernet2,PASS,
156,AS-LEAF3,IP Reachability,ip reachability test p2p links,Source: AS-LEAF3_Ethernet1 - Destination: AS-SPINE1_Ethernet5,PASS,
157,AS-LEAF3,IP Reachability,ip reachability test p2p links,Source: AS-LEAF3_Ethernet2 - Destination: AS-SPINE2_Ethernet5,PASS,
158,AS-SPINE1,IP Reachability,ip reachability test p2p links,Source: AS-SPINE1_Ethernet1 - Destination: AS-LEAF1_Ethernet1,PASS,
159,AS-SPINE1,IP Reachability,ip reachability test p2p links,Source: AS-SPINE1_Ethernet2 - Destination: AS-LEAF2_Ethernet1,PASS,
160,AS-SPINE1,IP Reachability,ip reachability test p2p links,Source: AS-SPINE1_Ethernet3 - Destination: AS-DCI1_Ethernet1,PASS,
161,AS-SPINE1,IP Reachability,ip reachability test p2p links,Source: AS-SPINE1_Ethernet4 - Destination: AS-DCI2_Ethernet1,PASS,
162,AS-SPINE1,IP Reachability,ip reachability test p2p links,Source: AS-SPINE1_Ethernet5 - Destination: AS-LEAF3_Ethernet1,PASS,
163,AS-SPINE1,IP Reachability,ip reachability test p2p links,Source: AS-SPINE1_Ethernet6 - Destination: AS-LEAF4_Ethernet1,PASS,
164,AS-DCI1,BGP,ArBGP is configured and operating,ArBGP,PASS,
165,AS-DCI2,BGP,ArBGP is configured and operating,ArBGP,PASS,
166,AS-LEAF1,BGP,ArBGP is configured and operating,ArBGP,PASS,
167,AS-LEAF2,BGP,ArBGP is configured and operating,ArBGP,PASS,
168,AS-LEAF3,BGP,ArBGP is configured and operating,ArBGP,PASS,
169,AS-SPINE1,BGP,ArBGP is configured and operating,ArBGP,PASS,
170,AS-SPINE2,BGP,ArBGP is configured and operating,ArBGP,PASS,
171,AS-DCI1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.9,PASS,
172,AS-DCI1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.16,PASS,
173,AS-DCI1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.18,PASS,
174,AS-DCI1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.250.2,PASS,
175,AS-DCI2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.8,PASS,
176,AS-DCI2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.20,PASS,
177,AS-DCI2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.22,PASS,
178,AS-DCI2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.250.4,PASS,
179,AS-LEAF1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.5,PASS,
180,AS-LEAF1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.8,PASS,
181,AS-LEAF1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.10,PASS,
182,AS-LEAF2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.4,PASS,
183,AS-LEAF2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.12,PASS,
184,AS-LEAF2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.14,PASS,
185,AS-LEAF3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.13,PASS,
186,AS-LEAF3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.24,PASS,
187,AS-LEAF3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.26,PASS,
188,AS-SPINE1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.9,PASS,
189,AS-SPINE1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.13,PASS,
190,AS-SPINE1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.17,PASS,
191,AS-SPINE1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.21,PASS,
192,AS-SPINE1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.25,PASS,
193,AS-SPINE1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.29,PASS,
194,AS-SPINE2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.11,PASS,
195,AS-SPINE2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.15,PASS,
196,AS-SPINE2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.19,PASS,
197,AS-SPINE2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.23,PASS,
198,AS-SPINE2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.27,PASS,
199,AS-SPINE2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 198.18.201.31,PASS,
200,AS-DCI1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.1,PASS,
201,AS-DCI1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.2,PASS,
202,AS-DCI1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.0.7,PASS,
203,AS-DCI2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.1,PASS,
204,AS-DCI2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.2,PASS,
205,AS-DCI2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.0.8,PASS,
206,AS-LEAF1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.1,PASS,
207,AS-LEAF1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.2,PASS,
208,AS-LEAF2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.1,PASS,
209,AS-LEAF2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.2,PASS,
210,AS-LEAF3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.1,PASS,
211,AS-LEAF3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.2,PASS,
212,AS-SPINE1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.7,PASS,
213,AS-SPINE1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.8,PASS,
214,AS-SPINE1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.5,PASS,
215,AS-SPINE1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.6,PASS,
216,AS-SPINE1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.9,PASS,
217,AS-SPINE1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.10,PASS,
218,AS-SPINE2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.7,PASS,
219,AS-SPINE2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.8,PASS,
220,AS-SPINE2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.5,PASS,
221,AS-SPINE2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.6,PASS,
222,AS-SPINE2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.9,PASS,
223,AS-SPINE2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 198.18.10.10,PASS,
224,AS-DCI1,Routing Table,Remote VTEP address,198.18.11.7,PASS,
225,AS-DCI1,Routing Table,Remote VTEP address,198.18.11.5,PASS,
226,AS-DCI1,Routing Table,Remote VTEP address,198.18.11.9,PASS,
227,AS-DCI1,Routing Table,Remote VTEP address,198.18.1.7,PASS,
228,AS-DCI1,Routing Table,Remote VTEP address,198.18.1.5,PASS,
229,AS-DCI1,Routing Table,Remote VTEP address,198.18.1.9,PASS,
230,AS-DCI2,Routing Table,Remote VTEP address,198.18.11.7,PASS,
231,AS-DCI2,Routing Table,Remote VTEP address,198.18.11.5,PASS,
232,AS-DCI2,Routing Table,Remote VTEP address,198.18.11.9,PASS,
233,AS-DCI2,Routing Table,Remote VTEP address,198.18.1.7,PASS,
234,AS-DCI2,Routing Table,Remote VTEP address,198.18.1.5,PASS,
